feature,1,2,3,4,5,6,7,8,9
79,3258.0,2715.0,2726.08163265,3258.0,4490.53061224,2715.0,2715.0,2371.46938776,3258.0
80,3258.0,2859.06122449,2914.46938776,3258.0,4788.55102041,2859.06122449,2859.06122449,2504.44897959,3258.0
81,3413.14285714,3025.28571429,3102.85714286,3413.14285714,5086.57142857,3025.28571429,3025.28571429,2637.42857143,3258.0
82,3612.6122449,3191.51020408,3291.24489796,3612.6122449,5384.59183673,3191.51020408,3191.51020408,2715.0,3291.24489796
83,3801.0,3258.0,3479.63265306,3801.0,5682.6122449,3258.0,3258.0,2715.0,3479.63265306
84,3801.0,3258.0,3668.02040816,3801.0,5980.63265306,3258.0,3258.0,2715.0,3668.02040816
85,3801.0,3258.0,3801.0,3801.0,6278.65306122,3258.0,3258.0,2715.0,3801.0
86,3867.48979592,3313.40816327,3801.0,3867.48979592,6458.0,3313.40816327,3313.40816327,2715.0,3801.0
87,4066.95918367,3479.63265306,3801.0,4066.95918367,6458.0,3479.63265306,3479.63265306,2715.0,3801.0
88,4266.42857143,3645.85714286,3878.57142857,4266.42857143,6629.71428571,3645.85714286,3645.85714286,2715.0,3878.57142857
89,4344.0,3801.0,4066.95918367,4344.0,6927.73469388,3801.0,3801.0,2715.0,4066.95918367
90,4344.0,3801.0,4255.34693878,4344.0,7001.0,3801.0,3801.0,2748.24489796,4255.34693878
91,4344.0,3801.0,4344.0,4344.0,7001.0,3801.0,3801.0,2881.2244898,4344.0
92,4521.30612245,3801.0,4344.0,4521.30612245,7278.79591837,3801.0,3801.0,3014.20408163,4344.0
93,4720.7755102,3933.97959184,4344.0,4720.7755102,7544.0,3933.97959184,3933.97959184,3147.18367347,4344.0
94,4920.24489796,4100.20408163,4465.89795918,4920.24489796,7544.0,4100.20408163,4100.20408163,3280.16326531,4465.89795918
95,5119.71428571,4266.42857143,4654.28571429,5119.71428571,7629.85714286,4266.42857143,4266.42857143,3413.14285714,4654.28571429
96,5319.18367347,4432.65306122,4842.67346939,5319.18367347,7927.87755102,4432.65306122,4432.65306122,3546.12244898,4842.67346939
97,5430.0,4598.87755102,4887.0,5430.0,8225.89795918,4598.87755102,4598.87755102,3679.10204082,5031.06122449
98,5430.0,4765.10204082,4887.0,5430.0,8523.91836735,4765.10204082,4765.10204082,3801.0,5219.44897959
99,5430.0,4887.0,4887.0,5430.0,8630.0,4887.0,4887.0,3801.0,5407.83673469
100,5430.0,4887.0,5053.2244898,5430.0,8630.0,4887.0,4887.0,3801.0,5430.0
101,5430.0,4887.0,5241.6122449,5430.0,8630.0,4887.0,4887.0,3801.0,5430.0
102,5430.0,4887.0,5430.0,5430.0,8630.0,4887.0,4887.0,3801.0,5430.0
